university,group_title,campaign_year,snapshot_date,applications,seat_counts,min_enrolled_score,last_rank
mpei,list16bacc,2026,2026-08-08 14:33:49.784403+00:00,4089,{},,4089
mpei,list17bacc,2026,2026-08-08 14:33:50.136145+00:00,3167,{},,3167
mpei,list1986bacc,2026,2026-08-08 14:33:50.383126+00:00,3553,{},,3553
mpei,list19bacc,2026,2026-08-08 14:33:50.684574+00:00,2484,{},,2484
mpei,list1bacc,2026,2026-08-08 14:33:50.901572+00:00,4922,{},,4922
mpei,list2016bacc,2026,2026-08-08 14:33:51.326794+00:00,124,{},,124
mpei,list2027bacc,2026,2026-08-08 14:33:51.341311+00:00,159,{},,159
mpei,list2033bacc,2026,2026-08-08 14:33:51.357401+00:00,127,{},,127
mpei,list20bacc,2026,2026-08-08 14:33:51.371104+00:00,727,{},,727
mpei,list2143bacc,2026,2026-08-08 14:33:51.460876+00:00,367,{},,367
mpei,list2149bacc,2026,2026-08-08 14:33:51.497067+00:00,3086,{},,3086
mpei,list2154bacc,2026,2026-08-08 14:33:51.750653+00:00,1737,{},,1737
mpei,list2160bacc,2026,2026-08-08 14:33:51.896831+00:00,1898,{},,1898
mpei,list22bacc,2026,2026-08-08 14:33:52.060576+00:00,4563,{},,4563
mpei,list356bacc,2026,2026-08-08 14:33:52.489585+00:00,118,{},,118
mpei,list35bacc,2026,2026-08-08 14:33:52.503688+00:00,3960,{},,3960
mpei,list368bacc,2026,2026-08-08 14:33:52.854328+00:00,461,{},,461
mpei,list371bacc,2026,2026-08-08 14:33:52.899096+00:00,277,{},,277
mpei,list375bacc,2026,2026-08-08 14:33:52.927138+00:00,529,{},,529
mpei,list383bacc,2026,2026-08-08 14:33:52.977108+00:00,386,{},,386
mpei,list4bacc,2026,2026-08-08 14:33:53.015429+00:00,3800,{},,3800
mpei,list533bacc,2026,2026-08-08 14:33:53.352610+00:00,3445,{},,3445
mpei,list540bacc,2026,2026-08-08 14:33:53.658694+00:00,1882,{},,1882
mpei,list542bacc,2026,2026-08-08 14:33:53.830636+00:00,1639,{},,1639
mpei,list544bacc,2026,2026-08-08 14:33:53.972276+00:00,985,{},,985
mpei,list588bacc,2026,2026-08-08 14:33:54.073468+00:00,2769,{},,2769
mpei,list5bacc,2026,2026-08-08 14:33:54.252966+00:00,5107,{},,5107
mpei,list7bacc,2026,2026-08-08 14:33:54.632880+00:00,3503,{},,3503
mpei,list881bacc,2026,2026-08-08 14:33:54.864812+00:00,414,{},,414
mpei,list963bacc,2026,2026-08-08 14:33:54.919462+00:00,1846,{},,1846
mpei,list975bacc,2026,2026-08-08 14:33:55.055012+00:00,3934,{},,3934
mpei,list986bacc,2026,2026-08-08 14:33:55.352335+00:00,157,{},,157
msu,Астрономия (by_special_quota),2026,2026-08-08 14:51:15.330904+00:00,2,"{""by_special_quota"": 2}",,2
msu,Астрономия (by_unusual_quota),2026,2026-08-08 14:51:15.333952+00:00,1,"{""by_unusual_quota"": 2}",,1
msu,Астрономия (by_unusual_quota),2026,2026-08-08 14:51:15.336251+00:00,1,"{""by_unusual_quota"": 2}",,1
msu,Астрономия (general_competition),2026,2026-08-08 14:51:15.342181+00:00,4,"{""general_competition"": 16}",390.0,4
msu,Астрономия (paid_competition),2026,2026-08-08 14:51:15.366807+00:00,161,"{""paid_competition"": 10}",,161
msu,Астрономия (without_entry_tests),2026,2026-08-08 14:51:15.338250+00:00,12,"{""without_entry_tests"": 16}",,12
